WT_PSC	WT_NC	WT_NC	WT_NC	WT_7d	WT_7d	WT_7d	WT_14d	WT_14d	WT_14d	WT_30d	WT_30d	WT_30d	WT_Het_3D	WT_Het_3D	WT_Het_3D	NF1_B_Het_3D	NF1_C_Het_3D	NF1_A_Het_3D	NF1_A_Hom_3D	NF1_B_Hom_3D	NF1_C_Hom_3D	SC_A	SC_B	SC_D	Fb_A	Fb_B
ABAT	235	560	578	1262	425	318	181	278	199	199	218	110	125	129	110	130	228	235	1345	698	1793	893	623	641	1213	429	289
ABCA5	91	455	294	241	103	72	89	78	70	72	53	42	33	145	187	259	171	331	419	336	372	270	102	101	652	130	177
ABCA8	0	10	5	10	4	2	0	35	31	52	201	160	105	754	1232	850	279	511	1554	187	341	25	4153	2745	2891	700	69
ABCG2	102	1235	1016	430	100	43	50	56	28	61	94	56	53	68	54	52	104	92	321	236	190	523	42	25	26	54	5
ABHD2	767	1653	1297	2095	2995	2064	1663	2313	1641	1578	4845	2611	3276	10336	9154	11854	9641	9140	3087	5020	6543	4293	1896	1451	6957	3194	3658
ABHD3	162	327	360	502	149	117	126	105	67	68	101	71	53	209	170	219	154	138	210	119	169	123	210	254	351	56	134
ABHD6	105	146	163	300	146	156	116	152	132	124	290	146	180	373	347	493	290	261	115	92	87	127	285	438	1638	112	173
ACAD9	440	751	725	1295	527	434	396	440	335	382	528	303	332	893	799	885	1018	829	900	839	1018	960	531	655	1190	682	604
ACSF2	124	794	827	1395	303	345	205	312	235	265	259	153	132	485	270	299	442	491	740	758	811	441	39	129	266	159	111
ACSS1	44	213	174	227	6	11	1	15	15	12	44	13	19	124	68	86	88	228	263	115	142	125	216	168	168	40	41
ACSS2	369	1270	993	2059	328	427	431	521	477	576	569	287	224	463	360	434	684	745	554	765	818	619	343	522	684	448	274
ACTA1	88	76	26	16	236	346	301	47	64	54	7	0	2	9	5	3	4	4	5	5323	5905	6	0	1	0	1	1
ACVR1B	368	700	701	1332	446	393	289	426	271	312	407	191	200	503	430	515	563	838	866	790	852	733	103	192	426	464	280
ACVRL1	4	50	34	47	4	7	0	6	2	5	2	1	0	354	316	242	226	288	247	64	135	156	0	0	15	451	263
ADAMTS4	164	379	588	469	337	225	244	462	148	212	661	302	485	4805	3746	5719	5402	1685	1075	1258	1539	1942	1412	2999	1499	561	933
ADAMTSL1	19	17	7	12	863	261	193	625	362	459	3078	1201	1547	1274	941	1237	1028	3325	1066	566	83	250	847	1605	1133	7769	3076
ADGRE5	50	341	268	677	61	53	33	62	36	75	166	66	51	769	657	835	700	729	64	568	413	400	364	316	813	1470	848
ADGRG1	12	228	292	292	212	326	197	377	249	334	1128	514	565	2194	1819	2369	1436	2948	487	665	241	244	124	496	20560	114	423
AFAP1L2	190	1469	1914	1422	2972	2393	1366	2819	1704	1699	5070	3056	3828	2512	1596	2180	1714	3236	4431	2654	4883	3476	4149	3787	1454	410	935
AFF2	123	922	869	2010	339	278	361	357	215	217	355	189	232	1131	773	1159	2144	1345	1517	1120	1123	2979	12	9	102	18	48
AGPAT4	724	1983	1947	3526	1255	1182	869	1185	632	780	1200	713	737	1147	987	1234	1283	1680	2227	1581	2192	1595	441	664	1358	224	690
AHDC1	349	1369	985	1941	487	473	312	630	420	515	708	359	328	750	578	840	1758	1634	1713	1300	859	1580	94	161	376	421	466
AHRR	22	77	57	31	259	132	172	159	109	134	416	275	505	273	339	442	280	262	439	437	1635	382	605	979	1097	594	1113
ALDH1A2	0	275	110	154	3	5	1	3	0	4	3	6	2	136	119	136	796	65	226	1991	24	3871	1	0	11	0	1
ALX1	14	73	65	177	22	14	6	22	13	17	17	9	8	105	98	112	150	183	671	29	137	173	140	0	0	4	0
ALX4	15	53	143	69	10	17	7	8	13	12	12	6	18	50	24	55	17	200	774	18	29	40	0	6	570	2	29
AMOT	189	1550	1534	3272	774	657	442	523	317	402	463	262	267	1473	809	963	4228	4468	3721	4697	2521	3733	46	67	175	70	128
ANGPTL2	199	414	335	677	168	252	172	427	332	305	879	575	729	4095	4196	3509	3017	1935	631	679	653	696	66	284	2559	117	502
ANKH	208	636	783	1107	772	672	543	1378	1157	959	2363	1452	1413	8293	7026	7264	7540	4372	1063	981	1376	1857	2035	1739	3246	1468	882
ANKMY2	206	542	599	1219	354	412	295	282	271	323	350	249	250	530	471	473	515	666	789	719	903	660	630	1046	603	572	385
ANKRD13B	392	704	767	988	382	294	250	309	236	250	429	218	226	312	213	204	392	451	579	363	431	552	344	382	352	120	151
ANKRD26	471	941	1036	2090	566	527	389	549	351	412	616	399	435	875	696	870	689	932	1077	1310	1593	1205	516	606	1447	571	757
