File.Name,Sample.Name,Diff.Day,Cell.Type,Model,Experiment,Sphere.Type,Genotype,Spheresvs2D,graph.Names,colors.p1,colors.p2
FiPS_PSC,FiPS_PSC,PSC,WT,2D,EX,,PP,,WT_PSC,#A617F6,seagreen
5PNF_TDiPSsv_MM_PSC,5PNFiPS_PSC,PSC,NF1,2D,EX,,MM,,NF1_A_PSC,#A617F6,seagreen1
3PNF_SiPSsv_MM_PSC,3PNFiPS_PSC,PSC,NF1,2D,EX,,MM,,NF1_B_PSC,#A617F6,seagreen1
FiPS_D12_MM_PSC,FiPS_D12_PSC,PSC,NF1,2D,EX,,MM,,NF1_C_PSC,#A617F6,seagreen1
EX15_FiPS_NC,FiPS_NC_r1,NC,WT,2D,EX15,,PP,NC_2D_PP,WT_NC,#1832F5,seagreen
EX16_FiPS_NC,FiPS_NC_r2,NC,WT,2D,EX16,,PP,NC_2D_PP,WT_NC,#1832F5,seagreen
FIPS_NC,FIPS_NC_r3,NC,WT,2D,EXP7A,,PP,NC_2D_PP,WT_NC,#1832F5,seagreen
EXP13_5PNFiPS_NC,5PNFiPS_NC_r1,NC,NF1,2D,EX13,,MM,,NF1_A_NC,#1832F5,seagreen1
EXP11_3PNFiPs_MM_NC,3PNFiPS_NC_r1,NC,NF1,2D,EX11,,MM,,NF1_B_NC,#1832F5,seagreen1
FiPS_D12_MM_NC,FiPS_D12_NC_r1,NC,NF1,2D,EXP7A,,MM,,NF1_C_NC,#1832F5,seagreen1
EX15_FiPS_7,FiPS_7d_r1,day7,WT,2D,EX15,,PP,day7_2D_PP,WT_7d,#1BB52F,seagreen
EX16_FiPS_7,FiPS_7d_r2,day7,WT,2D,EX16,,PP,day7_2D_PP,WT_7d,#1BB52F,seagreen
EX18_FiPS_7,FiPS_7d_r3,day7,WT,2D,EX18,,PP,day7_2D_PP,WT_7d,#1BB52F,seagreen
EXP10_5PNFiPS_7,5PNFiPS_7d_r1,day7,NF1,2D,EX10,,MM,,NF1_A_7d,#1BB52F,seagreen1
EXP11_3PNFiPs_MM_7,3PNFiPS_7d_r1,day7,NF1,2D,EX11,,MM,,NF1_B_7d,#1BB52F,seagreen1
