File.Name	Sample.Name
FiPS_PSC	FiPS_PSC
5PNF_TDiPSsv_MM_PSC	5PNFiPS_PSC
3PNF_SiPSsv_MM_PSC	3PNFiPS_PSC
FiPS_D12_MM_PSC	FiPS_D12_PSC
EX15_FiPS_NC	FiPS_NC_r1
EX16_FiPS_NC	FiPS_NC_r2
FIPS_NC	FIPS_NC_r3
EXP13_5PNFiPS_NC	5PNFiPS_NC_r1
EXP11_3PNFiPs_MM_NC	3PNFiPS_NC_r1
FiPS_D12_MM_NC	FiPS_D12_NC_r1
EX15_FiPS_7	FiPS_7d_r1
EX16_FiPS_7	FiPS_7d_r2
EX18_FiPS_7	FiPS_7d_r3
EXP10_5PNFiPS_7	5PNFiPS_7d_r1
EXP11_3PNFiPs_MM_7	3PNFiPS_7d_r1
FiPS_D12_MM_7d	FiPS_D12_7d_r1
EX15_FiPS_14	FiPS_14d_r1
EX16_FiPS_14	FiPS_14d_r2
EX18_FiPS_14	FiPS_14d_r3
EXP10_5PNFiPS_14	5PNFiPS_14d_r1
EXP11_3PNFiPs_MM_14	3PNFiPS_14d_r1
FIPS_D12_MM_14d	FIPS_D12_14d_r1
EX15_FiPS_30	FiPS_30d_r1
EX16_FiPS_30	FiPS_30d_r2
EX18_FiPS_30	FiPS_30d_r3
EXP10_5PNFiPS_30	5PNFiPS_30d_r1
EXP11_3PNFiPs_MM_30	3PNFiPS_30d_r1
FiPS_D12_MM_30d	FiPS_D12_30d_r1
FiPS_5PNF_F_EXP2A	FiPS_5PNF_F_3D_r1
FiPS_5PNF_F_EXP5A	FiPS_5PNF_F_3D_r2
FiPS_5PNF_F	FiPS_5PNF_F_3D_r3
5PNFiPS_MM_5PNF_F	5PNFiPS_5PNF_F_3D
3PNFiPS_MM_3PNF_F	3PNFiPS_3PNF_F_3D
FIPS_D12_MM_3PNF_F	FIPS_D12_3PNF_F_3D
5PNFiPS_MM	5PNFiPS_3D
3PNFiPS_MM	3PNFiPS_3D
FIPS_D12_MM	FIPS_D12_3D
5PNF_F_pan	5PNF_F_pan
5PNF_F_S	5PNF_F_S
3PNF_F	3PNF_F
13PNF_F	13PNF_F
5PNF_SC_SCDIFFMEDIA_48h	SC_5PNF
3PNF_SC_SCDIFFMEDIA_48h	SC_3PNF
6PNF_S	SC_6PNF
